No.     Time           Source                Destination           Protocol Length Info
    428 9.564147000    203.112.217.163       192.168.0.148         TCP      60     http > 55642 [ACK] Seq=1 Ack=609 Win=6688 Len=0
    429 9.565097000    203.112.217.163       192.168.0.148         TCP      309    [TCP segment of a reassembled PDU]
    430 9.565136000    192.168.0.148         203.112.217.163       TCP      54     55642 > http [ACK] Seq=609 Ack=256 Win=65535 Len=0
    432 9.565839000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    433 9.567075000    203.112.217.163       192.168.0.148         TCP      60     http > 55650 [ACK] Seq=1 Ack=657 Win=6560 Len=0
    434 9.576151000    203.112.217.163       192.168.0.148         TCP      60     http > 55644 [ACK] Seq=1 Ack=614 Win=6743 Len=0
    435 9.577057000    203.112.217.163       192.168.0.148         TCP      308    [TCP segment of a reassembled PDU]
    436 9.577140000    192.168.0.148         203.112.217.163       TCP      54     55644 > http [ACK] Seq=614 Ack=255 Win=65535 Len=0
    437 9.577751000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    438 9.587741000    203.112.217.163       192.168.0.148         TCP      60     http > 55647 [ACK] Seq=1 Ack=617 Win=6776 Len=0
    439 9.589801000    203.112.217.163       192.168.0.148         TCP      309    [TCP segment of a reassembled PDU]
    440 9.589885000    192.168.0.148         203.112.217.163       TCP      54     55647 > http [ACK] Seq=617 Ack=256 Win=65535 Len=0
    441 9.590700000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    442 9.601977000    203.112.217.163       192.168.0.148         TCP      60     http > 55648 [ACK] Seq=1 Ack=614 Win=6743 Len=0
    443 9.602952000    203.112.217.163       192.168.0.148         TCP      308    [TCP segment of a reassembled PDU]
    444 9.603004000    192.168.0.148         203.112.217.163       TCP      54     55648 > http [ACK] Seq=614 Ack=255 Win=65535 Len=0
    445 9.603671000    203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    513 9.735046000    192.168.0.148         203.112.217.163       TCP      54     55648 > http [ACK] Seq=614 Ack=1715 Win=65535 Len=0
    514 9.735063000    192.168.0.148         203.112.217.163       TCP      54     55647 > http [ACK] Seq=617 Ack=1716 Win=65535 Len=0
    515 9.735063000    192.168.0.148         203.112.217.163       TCP      54     55644 > http [ACK] Seq=614 Ack=1715 Win=65535 Len=0
    516 9.735077000    192.168.0.148         203.112.217.163       TCP      54     55646 > http [ACK] Seq=611 Ack=1715 Win=65535 Len=0
    517 9.735078000    192.168.0.148         203.112.217.163       TCP      54     55642 > http [ACK] Seq=609 Ack=1716 Win=65535 Len=0
    615 10.030310000   203.112.217.163       192.168.0.148         TCP      60     http > 55654 [ACK] Seq=1 Ack=538 Win=6444 Len=0
    616 10.031490000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    617 10.031834000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    618 10.031871000   192.168.0.148         203.112.217.163       TCP      54     55646 > http [ACK] Seq=611 Ack=4635 Win=65535 Len=0
    619 10.031936000   203.112.217.163       192.168.0.148         TCP      308    [TCP segment of a reassembled PDU]
    620 10.031969000   192.168.0.148         203.112.217.163       TCP      54     55654 > http [ACK] Seq=538 Ack=255 Win=65535 Len=0
    621 10.032310000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    647 10.047724000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    648 10.048072000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    649 10.048111000   192.168.0.148         203.112.217.163       TCP      54     55642 > http [ACK] Seq=609 Ack=4636 Win=65535 Len=0
    698 10.066310000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    699 10.066628000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    700 10.066685000   192.168.0.148         203.112.217.163       TCP      54     55644 > http [ACK] Seq=614 Ack=4635 Win=65535 Len=0
    721 10.083409000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    722 10.083736000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    723 10.083782000   192.168.0.148         203.112.217.163       TCP      54     55647 > http [ACK] Seq=617 Ack=4636 Win=65535 Len=0
    747 10.101992000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    748 10.102335000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    749 10.102381000   192.168.0.148         203.112.217.163       TCP      54     55648 > http [ACK] Seq=614 Ack=4635 Win=65535 Len=0
    781 10.222656000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    782 10.222963000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    783 10.222999000   192.168.0.148         203.112.217.163       TCP      54     55646 > http [ACK] Seq=611 Ack=7555 Win=65535 Len=0
    784 10.223203000   203.112.217.163       192.168.0.148         HTTP     1077   HTTP/1.1 200 OK  (JPEG JFIF image)
    785 10.223235000   192.168.0.148         203.112.217.163       TCP      54     55646 > http [ACK] Seq=611 Ack=8579 Win=65535 Len=0
    786 10.223526000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    787 10.223841000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    788 10.223874000   192.168.0.148         203.112.217.163       TCP      54     55642 > http [ACK] Seq=609 Ack=7556 Win=65535 Len=0
    802 10.227500000   192.168.0.148         203.112.217.163       TCP      54     55646 > http [FIN, ACK] Seq=611 Ack=8579 Win=65535 Len=0
    812 10.229086000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    813 10.229412000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    814 10.229452000   192.168.0.148         203.112.217.163       TCP      54     55644 > http [ACK] Seq=614 Ack=7555 Win=65535 Len=0
    815 10.229723000   203.112.217.163       192.168.0.148         HTTP     1507   HTTP/1.1 200 OK  (JPEG JFIF image)
    816 10.229763000   192.168.0.148         203.112.217.163       TCP      54     55644 > http [ACK] Seq=614 Ack=9009 Win=65535 Len=0
    817 10.230332000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    818 10.230648000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    819 10.230697000   192.168.0.148         203.112.217.163       TCP      54     55647 > http [ACK] Seq=617 Ack=7556 Win=65535 Len=0
    820 10.234404000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    821 10.234658000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    822 10.234706000   192.168.0.148         203.112.217.163       TCP      54     55648 > http [ACK] Seq=614 Ack=7555 Win=65535 Len=0
    823 10.234917000   203.112.217.163       192.168.0.148         HTTP     1179   HTTP/1.1 200 OK  (JPEG JFIF image)
    824 10.234952000   192.168.0.148         203.112.217.163       TCP      54     55648 > http [ACK] Seq=614 Ack=8681 Win=65535 Len=0
    826 10.238504000   192.168.0.148         203.112.217.163       TCP      54     55654 > http [ACK] Seq=538 Ack=1715 Win=65535 Len=0
    861 10.264638000   192.168.0.148         203.112.217.163       TCP      54     55648 > http [FIN, ACK] Seq=614 Ack=8681 Win=65535 Len=0
    878 10.292380000   192.168.0.148         203.112.217.163       TCP      54     55644 > http [FIN, ACK] Seq=614 Ack=9009 Win=65535 Len=0
    888 10.293923000   192.168.0.148         203.112.217.163       TCP      78     55695 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351109224 TSecr=0 SACK_PERM=1
    892 10.294345000   192.168.0.148         203.112.217.163       TCP      78     55696 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351109224 TSecr=0 SACK_PERM=1
    909 10.323085000   192.168.0.148         203.112.217.163       TCP      78     55698 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351109252 TSecr=0 SACK_PERM=1
    942 10.436249000   203.112.217.163       192.168.0.148         HTTP     995    HTTP/1.1 200 OK  (text/html)
    943 10.436254000   203.112.217.163       192.168.0.148         TCP      60     http > 55650 [FIN, ACK] Seq=942 Ack=657 Win=6560 Len=0
    944 10.436424000   192.168.0.148         203.112.217.163       TCP      54     55650 > http [ACK] Seq=657 Ack=942 Win=65535 Len=0
    945 10.436425000   192.168.0.148         203.112.217.163       TCP      54     55650 > http [ACK] Seq=657 Ack=943 Win=65535 Len=0
    954 10.437824000   192.168.0.148         203.112.217.163       TCP      54     55650 > http [FIN, ACK] Seq=657 Ack=943 Win=65535 Len=0
    965 10.460044000   192.168.0.148         203.112.217.163       TCP      78     55700 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351109383 TSecr=0 SACK_PERM=1
    984 10.505352000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    985 10.505529000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    986 10.505606000   192.168.0.148         203.112.217.163       TCP      54     55654 > http [ACK] Seq=538 Ack=4635 Win=65535 Len=0
    998 10.539607000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
    999 10.539823000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1000 10.539871000   192.168.0.148         203.112.217.163       TCP      54     55642 > http [ACK] Seq=609 Ack=10476 Win=65535 Len=0
   1001 10.540101000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1002 10.540146000   192.168.0.148         203.112.217.163       TCP      54     55642 > http [ACK] Seq=609 Ack=11936 Win=65535 Len=0
   1003 10.540287000   203.112.217.163       192.168.0.148         HTTP     733    HTTP/1.1 200 OK  (JPEG JFIF image)
   1004 10.540331000   192.168.0.148         203.112.217.163       TCP      54     55642 > http [ACK] Seq=609 Ack=12616 Win=65535 Len=0
   1005 10.540941000   192.168.0.148         203.112.217.163       TCP      54     55642 > http [FIN, ACK] Seq=609 Ack=12616 Win=65535 Len=0
   1006 10.558170000   192.168.0.148         203.112.217.163       TCP      78     55701 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351109476 TSecr=0 SACK_PERM=1
   1007 10.578349000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1008 10.578638000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1009 10.578747000   192.168.0.148         203.112.217.163       TCP      54     55647 > http [ACK] Seq=617 Ack=10476 Win=65535 Len=0
   1010 10.578911000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1011 10.578947000   192.168.0.148         203.112.217.163       TCP      54     55647 > http [ACK] Seq=617 Ack=11936 Win=65535 Len=0
   1103 10.706199000   203.112.217.163       192.168.0.148         TCP      60     http > 55646 [ACK] Seq=8579 Ack=612 Win=6710 Len=0
   1104 10.712254000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1105 10.712560000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1106 10.712611000   192.168.0.148         203.112.217.163       TCP      54     55654 > http [ACK] Seq=538 Ack=7555 Win=65535 Len=0
   1143 10.733710000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1152 10.736723000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1153 10.736760000   192.168.0.148         203.112.217.163       TCP      54     55647 > http [ACK] Seq=617 Ack=14856 Win=65535 Len=0
   1154 10.737044000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1233 10.797585000   203.112.217.163       192.168.0.148         TCP      60     http > 55644 [ACK] Seq=9009 Ack=615 Win=6743 Len=0
   1234 10.798150000   203.112.217.163       192.168.0.148         TCP      60     http > 55695 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1235 10.798218000   192.168.0.148         203.112.217.163       TCP      54     55695 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1236 10.798647000   203.112.217.163       192.168.0.148         TCP      60     http > 55648 [ACK] Seq=8681 Ack=615 Win=6743 Len=0
   1237 10.799378000   192.168.0.148         203.112.217.163       HTTP     740    GET /modules/mod_currencyrate.ajax.php?more_text=More%20Info&read_more=0&link=http://www.bb.org.bd/econdata/exchangerate.php HTTP/1.1 
   1238 10.803981000   203.112.217.163       192.168.0.148         TCP      60     http > 55696 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1239 10.804036000   192.168.0.148         203.112.217.163       TCP      54     55696 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1240 10.805079000   192.168.0.148         203.112.217.163       HTTP     667    GET /templates/e_gov_tem_green/images/top-round.gif HTTP/1.1 
   1241 10.806158000   203.112.217.163       192.168.0.148         TCP      60     http > 55698 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1242 10.806238000   192.168.0.148         203.112.217.163       TCP      54     55698 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1243 10.807202000   192.168.0.148         203.112.217.163       HTTP     668    GET /templates/e_gov_tem_green/images/fon_left02.gif HTTP/1.1 
   1245 10.921121000   203.112.217.163       192.168.0.148         TCP      60     http > 55650 [ACK] Seq=943 Ack=658 Win=6560 Len=0
   1246 10.937641000   203.112.217.163       192.168.0.148         TCP      60     http > 55700 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1247 10.937729000   192.168.0.148         203.112.217.163       TCP      54     55700 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1248 10.939022000   192.168.0.148         203.112.217.163       HTTP     642    GET /images/menu/newbu.gif HTTP/1.1 
   1250 10.942139000   192.168.0.148         203.112.217.163       TCP      54     55647 > http [ACK] Seq=617 Ack=16316 Win=65535 Len=0
   1260 10.977312000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1261 10.977687000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1262 10.977934000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1263 10.978013000   203.112.217.163       192.168.0.148         HTTP     132    HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif)
   1264 10.978042000   192.168.0.148         203.112.217.163       TCP      54     55654 > http [ACK] Seq=538 Ack=10475 Win=65535 Len=0
   1265 10.978103000   192.168.0.148         203.112.217.163       TCP      54     55654 > http [ACK] Seq=538 Ack=11935 Win=65535 Len=0
   1266 10.978105000   192.168.0.148         203.112.217.163       TCP      54     55654 > http [ACK] Seq=538 Ack=12014 Win=65535 Len=0
   1268 10.979044000   192.168.0.148         203.112.217.163       TCP      54     55654 > http [FIN, ACK] Seq=538 Ack=12014 Win=65535 Len=0
   1328 11.023571000   203.112.217.163       192.168.0.148         TCP      60     http > 55642 [ACK] Seq=12616 Ack=610 Win=6688 Len=0
   1332 11.063708000   203.112.217.163       192.168.0.148         TCP      60     http > 55701 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1333 11.063807000   192.168.0.148         203.112.217.163       TCP      54     55701 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1334 11.064819000   192.168.0.148         203.112.217.163       HTTP     647    GET /images/menu/popular_bg.gif HTTP/1.1 
   1335 11.072350000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1336 11.072404000   192.168.0.148         203.112.217.163       TCP      54     55647 > http [ACK] Seq=617 Ack=17776 Win=65535 Len=0
   1337 11.072629000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1338 11.072939000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1339 11.072981000   192.168.0.148         203.112.217.163       TCP      54     55647 > http [ACK] Seq=617 Ack=20696 Win=65535 Len=0
   1340 11.073248000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1341 11.073562000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1342 11.073600000   192.168.0.148         203.112.217.163       TCP      54     55647 > http [ACK] Seq=617 Ack=23616 Win=65535 Len=0
   1343 11.073779000   203.112.217.163       192.168.0.148         HTTP     911    HTTP/1.1 200 OK  (JPEG JFIF image)
   1344 11.073813000   192.168.0.148         203.112.217.163       TCP      54     55647 > http [ACK] Seq=617 Ack=24474 Win=65535 Len=0
   1345 11.074408000   192.168.0.148         203.112.217.163       TCP      54     55647 > http [FIN, ACK] Seq=617 Ack=24474 Win=65535 Len=0
   1347 11.080727000   192.168.0.148         203.112.217.163       TCP      78     55703 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351109970 TSecr=0 SACK_PERM=1
   1421 11.281090000   203.112.217.163       192.168.0.148         TCP      60     http > 55695 [ACK] Seq=1 Ack=687 Win=6860 Len=0
   1422 11.288375000   203.112.217.163       192.168.0.148         TCP      60     http > 55698 [ACK] Seq=1 Ack=615 Win=6754 Len=0
   1423 11.291785000   203.112.217.163       192.168.0.148         HTTP     426    HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif)
   1424 11.291795000   203.112.217.163       192.168.0.148         TCP      60     http > 55698 [FIN, ACK] Seq=373 Ack=615 Win=6754 Len=0
   1425 11.291797000   203.112.217.163       192.168.0.148         TCP      60     http > 55696 [ACK] Seq=1 Ack=614 Win=6743 Len=0
   1426 11.292026000   192.168.0.148         203.112.217.163       TCP      54     55698 > http [ACK] Seq=615 Ack=373 Win=65535 Len=0
   1427 11.292028000   192.168.0.148         203.112.217.163       TCP      54     55698 > http [ACK] Seq=615 Ack=374 Win=65535 Len=0
   1428 11.293280000   192.168.0.148         203.112.217.163       TCP      54     55698 > http [FIN, ACK] Seq=615 Ack=374 Win=65535 Len=0
   1429 11.295290000   203.112.217.163       192.168.0.148         TCP      306    [TCP segment of a reassembled PDU]
   1430 11.295397000   192.168.0.148         203.112.217.163       TCP      54     55696 > http [ACK] Seq=614 Ack=253 Win=65535 Len=0
   1431 11.295550000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1432 11.295769000   203.112.217.163       192.168.0.148         HTTP     938    HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif)
   1433 11.295856000   192.168.0.148         203.112.217.163       TCP      54     55696 > http [ACK] Seq=614 Ack=2598 Win=65535 Len=0
   1434 11.296625000   192.168.0.148         203.112.217.163       TCP      54     55696 > http [FIN, ACK] Seq=614 Ack=2598 Win=65535 Len=0
   1435 11.303912000   192.168.0.148         203.112.217.163       TCP      78     55706 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351110181 TSecr=0 SACK_PERM=1
   1436 11.303912000   192.168.0.148         203.112.217.163       TCP      78     55707 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351110181 TSecr=0 SACK_PERM=1
   1482 11.408817000   203.112.217.163       192.168.0.148         TCP      1514   [TCP segment of a reassembled PDU]
   1483 11.409026000   203.112.217.163       192.168.0.148         HTTP     966    HTTP/1.1 200 OK  (text/html)
   1484 11.409117000   203.112.217.163       192.168.0.148         TCP      60     http > 55695 [FIN, ACK] Seq=2373 Ack=687 Win=6860 Len=0
   1485 11.409134000   192.168.0.148         203.112.217.163       TCP      54     55695 > http [ACK] Seq=687 Ack=2373 Win=65535 Len=0
   1486 11.409180000   192.168.0.148         203.112.217.163       TCP      54     55695 > http [ACK] Seq=687 Ack=2374 Win=65535 Len=0
   1487 11.409777000   192.168.0.148         203.112.217.163       TCP      54     55695 > http [FIN, ACK] Seq=687 Ack=2374 Win=65535 Len=0
   1488 11.414599000   203.112.217.163       192.168.0.148         TCP      60     http > 55700 [ACK] Seq=1 Ack=589 Win=6468 Len=0
   1489 11.415133000   203.112.217.163       192.168.0.148         HTTP     399    HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif)
   1490 11.415248000   203.112.217.163       192.168.0.148         TCP      60     http > 55700 [FIN, ACK] Seq=346 Ack=589 Win=6468 Len=0
   1491 11.415264000   192.168.0.148         203.112.217.163       TCP      54     55700 > http [ACK] Seq=589 Ack=346 Win=65535 Len=0
   1492 11.415281000   192.168.0.148         203.112.217.163       TCP      54     55700 > http [ACK] Seq=589 Ack=347 Win=65535 Len=0
   1493 11.415939000   192.168.0.148         203.112.217.163       TCP      54     55700 > http [FIN, ACK] Seq=589 Ack=347 Win=65535 Len=0
   1495 11.426538000   192.168.0.148         203.112.217.163       TCP      78     55708 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351110297 TSecr=0 SACK_PERM=1
   1496 11.429572000   192.168.0.148         203.112.217.163       TCP      78     55709 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351110300 TSecr=0 SACK_PERM=1
   1512 11.450321000   203.112.217.163       192.168.0.148         TCP      60     http > 55654 [ACK] Seq=12014 Ack=539 Win=6444 Len=0
   1589 11.567197000   203.112.217.163       192.168.0.148         TCP      60     http > 55701 [ACK] Seq=1 Ack=594 Win=6523 Len=0
   1590 11.567354000   203.112.217.163       192.168.0.148         HTTP     385    HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif)
   1591 11.567391000   192.168.0.148         203.112.217.163       TCP      54     55701 > http [ACK] Seq=594 Ack=332 Win=65535 Len=0
   1592 11.567442000   203.112.217.163       192.168.0.148         TCP      60     http > 55701 [FIN, ACK] Seq=332 Ack=594 Win=6523 Len=0
   1593 11.567475000   192.168.0.148         203.112.217.163       TCP      54     55701 > http [ACK] Seq=594 Ack=333 Win=65535 Len=0
   1594 11.567541000   203.112.217.163       192.168.0.148         TCP      60     http > 55647 [ACK] Seq=24474 Ack=618 Win=6776 Len=0
   1595 11.568105000   192.168.0.148         203.112.217.163       TCP      54     55701 > http [FIN, ACK] Seq=594 Ack=333 Win=65535 Len=0
   1596 11.570066000   203.112.217.163       192.168.0.148         TCP      60     http > 55703 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1597 11.570127000   192.168.0.148         203.112.217.163       TCP      54     55703 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1598 11.571840000   192.168.0.148         203.112.217.163       HTTP     665    GET /templates/e_gov_tem_green/images/left001.gif HTTP/1.1 
   1601 11.574702000   192.168.0.148         203.112.217.163       TCP      78     55710 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351110436 TSecr=0 SACK_PERM=1
   1710 11.777793000   203.112.217.163       192.168.0.148         TCP      60     http > 55698 [ACK] Seq=374 Ack=616 Win=6754 Len=0
   1711 11.782303000   203.112.217.163       192.168.0.148         TCP      60     http > 55696 [ACK] Seq=2598 Ack=615 Win=6743 Len=0
   1712 11.782954000   203.112.217.163       192.168.0.148         TCP      60     http > 55706 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1713 11.783205000   192.168.0.148         203.112.217.163       TCP      54     55706 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1714 11.785198000   192.168.0.148         203.112.217.163       HTTP     664    GET /templates/e_gov_tem_green/images/bottom.gif HTTP/1.1 
   1715 11.790029000   203.112.217.163       192.168.0.148         TCP      60     http > 55707 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1717 11.790298000   192.168.0.148         203.112.217.163       TCP      54     55707 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1733 11.793070000   192.168.0.148         203.112.217.163       HTTP     665    GET /templates/e_gov_tem_green/images/strelka.gif HTTP/1.1 
   1836 11.890163000   203.112.217.163       192.168.0.148         TCP      60     http > 55700 [ACK] Seq=347 Ack=590 Win=6468 Len=0
   1837 11.892437000   203.112.217.163       192.168.0.148         TCP      60     http > 55695 [ACK] Seq=2374 Ack=688 Win=6860 Len=0
   1838 11.922694000   203.112.217.163       192.168.0.148         TCP      60     http > 55709 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1839 11.922956000   192.168.0.148         203.112.217.163       TCP      54     55709 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1840 11.924930000   192.168.0.148         203.112.217.163       HTTP     663    GET /templates/e_gov_tem_green/images/space.gif HTTP/1.1 
   1841 11.925919000   203.112.217.163       192.168.0.148         TCP      60     http > 55708 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1842 11.926105000   192.168.0.148         203.112.217.163       TCP      54     55708 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1847 11.928010000   192.168.0.148         203.112.217.163       HTTP     659    GET /templates/e_gov_tem_green/images/s.gif HTTP/1.1 
   1881 12.057384000   203.112.217.163       192.168.0.148         TCP      60     http > 55710 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460
   1882 12.057651000   192.168.0.148         203.112.217.163       TCP      54     55710 > http [ACK] Seq=1 Ack=1 Win=65535 Len=0
   1883 12.057815000   203.112.217.163       192.168.0.148         TCP      60     http > 55703 [ACK] Seq=1 Ack=612 Win=6721 Len=0
   1884 12.058809000   203.112.217.163       192.168.0.148         TCP      305    [TCP segment of a reassembled PDU]
   1885 12.058903000   192.168.0.148         203.112.217.163       TCP      54     55703 > http [ACK] Seq=612 Ack=252 Win=65535 Len=0
   1886 12.059074000   203.112.217.163       192.168.0.148         HTTP     741    HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif)
   1887 12.059144000   203.112.217.163       192.168.0.148         TCP      60     http > 55703 [FIN, ACK] Seq=939 Ack=612 Win=6721 Len=0
   1888 12.059157000   192.168.0.148         203.112.217.163       TCP      54     55703 > http [ACK] Seq=612 Ack=939 Win=65535 Len=0
   1889 12.059216000   192.168.0.148         203.112.217.163       TCP      54     55703 > http [ACK] Seq=612 Ack=940 Win=65535 Len=0
   1890 12.059821000   192.168.0.148         203.112.217.163       HTTP     664    GET /templates/e_gov_tem_green/images/shadow.jpg HTTP/1.1 
   1891 12.060775000   192.168.0.148         203.112.217.163       TCP      54     55703 > http [FIN, ACK] Seq=612 Ack=940 Win=65535 Len=0
   1892 12.065991000   192.168.0.148         203.112.217.163       TCP      78     55711 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351110902 TSecr=0 SACK_PERM=1
   1893 12.070857000   203.112.217.163       192.168.0.148         TCP      60     http > 55701 [ACK] Seq=333 Ack=595 Win=6523 Len=0
   1896 12.261469000   203.112.217.163       192.168.0.148         TCP      60     http > 55706 [ACK] Seq=1 Ack=611 Win=6710 Len=0
   1897 12.262503000   203.112.217.163       192.168.0.148         HTTP     445    HTTP/1.1 200 OK  (GIF89a) (GIF89a) (image/gif)
   1898 12.262589000   203.112.217.163       192.168.0.148         TCP      60     http > 55706 [FIN, ACK] Seq=392 Ack=611 Win=6710 Len=0
   1899 12.262600000   192.168.0.148         203.112.217.163       TCP      54     55706 > http [ACK] Seq=611 Ack=392 Win=65535 Len=0
   1900 12.262674000   192.168.0.148         203.112.217.163       TCP      54     55706 > http [ACK] Seq=611 Ack=393 Win=65535 Len=0
   1901 12.265366000   192.168.0.148         203.112.217.163       TCP      54     55706 > http [FIN, ACK] Seq=611 Ack=393 Win=65535 Len=0
   1902 12.268294000   192.168.0.148         203.112.217.163       TCP      78     55712 > http [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=16 TSval=351111101 TSecr=0 SACK_PERM=1
